"","total_CDS","total_duration_hrs","total_AWC","AWC_hr","CDS_hr"
"109",2196.75,6.11611111111667,5049.5,825.60632209935,359.174311926279
"110",9229.5,13.0311111111167,25615,1965.68042291867,708.266541609521
"111",2168.5,5.49638888888333,5108,929.337443777156,394.531763279319
"112",2878,7.54355555556667,5788,767.277440639888,381.51770458908
"113",6841,1.16666666666667,7892,6764.57142857143,5863.71428571429
"114",5400,7.4475,13187,1770.66129573682,725.075528700906
"115",20103.5,10.2755555555667,39732,3866.65224913077,1956.43923010169
"116",13186.5,14.1572222222167,32498,2295.50680846144,931.432719852816
"117",12993,11.9863333333,19492,1626.1853777959,1083.98453794901
"118",9746.75,10.6108333333333,18295.5,1724.22838294196,918.565931045315
"119",10028,10.7097222222167,15346,1432.90364414547,936.345480482913
"120",3609,1,3609,3609,3609
"121",2662.25,6.95944444445,7461.5,1072.14017721635,382.537718527674
"122",9635.75,12.4719444444333,20246.5,1623.36354930099,772.594044411477
"123",7098.5,8.28055555555,9531,1151.00972827987,857.2492452203
"124",6399.75,15.75144444445,28100.5,1783.99511861283,406.296071612337
"125",2585.75,8.30472222221667,5255.5,632.832725691964,311.3589992309
"126",6416.5,9.39027777776667,11629,1238.40851945125,683.31311936185
"127",5640.25,6.88472222221667,7474.5,1085.66471656331,819.241476700278
"128",7484,10.93605555555,15209,1390.72080630402,684.341805140328
"129",8291,12.4222222222167,16144,1299.60644007214,667.432915921586
"130",1918,19.8352777777833,47053,2372.18760065473,96.6964023134716
"131",15499,12.2847222222167,30387,2473.56020350592,1261.64838892086
"132",8056,10.7532777777667,21875,2034.26345455601,749.16692068129
"133",10182.5,7.13166666666667,12088,1694.97546155644,1427.78686609021
"134",871,6.2145,9210,1482.01786145305,140.156086571727
"135",3355,1.16666666666667,4394,3766.28571428571,2875.71428571429
"136",2342,2.16633333333333,6499,3000,1081.08939836898
"137",2078,3.33283333333333,7618,2285.74286142921,623.493524028604
"138",2627,1.9595,5656,2886.45062515948,1340.64812452156
"139",2307,5.33333333333333,18191,3410.8125,432.5625
"140",3008,1.16666666666667,3289,2819.14285714286,2578.28571428571
"141",908,0.9745,908,931.759876859928,931.759876859928
"142",768,1.33333333333333,977,732.75,576
"143",1503,4.2505,6759,1590.16586283967,353.60545818139
"144",4707,1,4707,4707,4707
"145",2176,1.66666666666667,4339,2603.4,1305.6
"146",2435,3.32033333333333,10990,3309.90864371047,733.360104407188
"147",3647,1.16666666666667,4629,3967.71428571429,3126
"148",1770,1.83333333333333,3078,1678.90909090909,965.454545454545
"149",2213,1.80166666666667,4725,2622.57169287697,1228.30712303423
"150",2591,3.66666666666667,12223,3333.54545454545,706.636363636364
"151",2551,1.33333333333333,3568,2676,1913.25
"152",2053,1.33333333333333,2577,1932.75,1539.75
"153",4105,1.5,6223,4148.66666666667,2736.66666666667
